# BUSCO version is: 6.0.0 
# The lineage dataset is: diptera_odb10 (Creation date: 2024-01-08, number of genomes: 56, number of BUSCOs: 3285)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
377at7147	Complete	2L	8043705	8053045	+	3223.8	2031	https://v10-1.orthodb.org/?query=377at7147	EGF-like calcium-binding, conserved site
396at7147	Complete	2R	11885446	11868146	-	5510.3	3765	https://v10-1.orthodb.org/?query=396at7147	Midasin AAA lid domain 5
423at7147	Complete	3L	9674840	9631991	-	4730.7	2537	https://v10-1.orthodb.org/?query=423at7147	Cell morphogenesis central region
432at7147	Complete	X	2500900	2473154	-	3576.1	2358	https://v10-1.orthodb.org/?query=432at7147	Immunoglobulin-like domain
459at7147	Complete	3R	31778465	31789718	+	3541.7	1951	https://v10-1.orthodb.org/?query=459at7147	Ubiquitin specific protease, conserved site
466at7147	Complete	2L	13004785	13012929	+	3802.5	2037	https://v10-1.orthodb.org/?query=466at7147	FKBP12-rapamycin binding domain
491at7147	Complete	3R	28696331	28733611	+	2308.5	1757	https://v10-1.orthodb.org/?query=491at7147	Huntingtin family
508at7147	Complete	2R	7567264	7580426	+	3775.2	2528	https://v10-1.orthodb.org/?query=508at7147	Vacuolar protein sorting-associated protein 13, N-terminal domain
509at7147	Complete	2R	12162693	12154379	-	4811.9	2090	https://v10-1.orthodb.org/?query=509at7147	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
516at7147	Complete	3R	24649686	24636460	-	4345.6	2318	https://v10-1.orthodb.org/?query=516at7147	Ubiquitin specific protease, conserved site
556at7147	Complete	2L	10290490	10281999	-	3457.6	1924	https://v10-1.orthodb.org/?query=556at7147	Ankyrin repeat-containing domain
566at7147	Complete	2L	18500800	18488076	-	3136.4	1912	https://v10-1.orthodb.org/?query=566at7147	Laminin G domain
591at7147	Complete	X	2225959	2242808	+	2397.5	1379	https://v10-1.orthodb.org/?query=591at7147	Pecanex, C-terminal
595at7147	Complete	3R	9725525	9714954	-	3606.8	2103	https://v10-1.orthodb.org/?query=595at7147	HECT domain
597at7147	Complete	3L	27988703	27967333	-	3043.6	1783	https://v10-1.orthodb.org/?query=597at7147	Translational activator Gcn1
608at7147	Complete	3L	1788896	1779184	-	4333.4	2154	https://v10-1.orthodb.org/?query=608at7147	EF-hand, Ca insensitive
610at7147	Complete	3R	20635637	20644131	+	3414.8	1894	https://v10-1.orthodb.org/?query=610at7147	Leucine-rich repeat
612at7147	Complete	2R	9578289	9567980	-	3094.1	1712	https://v10-1.orthodb.org/?query=612at7147	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
626at7147	Complete	3R	28531449	28521131	-	2376.6	1558	https://v10-1.orthodb.org/?query=626at7147	Immunoglobulin-like domain
648at7147	Complete	X	17661183	17668934	+	4155.6	2048	https://v10-1.orthodb.org/?query=648at7147	Pleckstrin homology domain
698at7147	Complete	3L	8561481	8573786	+	4374.5	2280	https://v10-1.orthodb.org/?query=698at7147	Talin, central
729at7147	Complete	3L	15967752	15961002	-	3912.0	1876	https://v10-1.orthodb.org/?query=729at7147	DEAD/DEAH box helicase domain
745at7147	Complete	X	15912071	15919878	+	2693.4	1488	https://v10-1.orthodb.org/?query=745at7147	EGF-like calcium-binding, conserved site
762at7147	Complete	2R	9176779	9168136	-	4047.7	2022	https://v10-1.orthodb.org/?query=762at7147	DnaJ domain
765at7147	Complete	2R	22483418	22491923	+	2293.6	1924	https://v10-1.orthodb.org/?query=765at7147	Armadillo-type fold
784at7147	Complete	2L	7495608	7473113	-	3142.2	1699	https://v10-1.orthodb.org/?query=784at7147	Dedicator of cytokinesis, C-terminal
811at7147	Complete	2R	7985761	7974489	-	3949.3	1916	https://v10-1.orthodb.org/?query=811at7147	Acetyl-CoA carboxylase
814at7147	Complete	X	6825084	6831336	+	1679.0	1384	https://v10-1.orthodb.org/?query=814at7147	Phosphatidylinositol 3-/4-kinase, catalytic domain
824at7147	Complete	X	16656397	16668591	+	2207.2	1138	https://v10-1.orthodb.org/?query=824at7147	Carbamoyl-phosphate synthase small subunit, N-terminal domain
839at7147	Complete	3R	16493037	16484701	-	1981.3	1345	https://v10-1.orthodb.org/?query=839at7147	Cadherin-like
860at7147	Complete	3L	21025020	20995706	-	1414.6	897	https://v10-1.orthodb.org/?query=860at7147	Mediator complex subunit Med13, C-terminal
869at7147	Complete	3R	19245791	19230863	-	3678.5	1986	https://v10-1.orthodb.org/?query=869at7147	UNC79
889at7147	Complete	3L	8480684	8473021	-	2727.9	1592	https://v10-1.orthodb.org/?query=889at7147	Tetratricopeptide repeat
898at7147	Complete	X	11084125	11071723	-	983.3	1104	https://v10-1.orthodb.org/?query=898at7147	Fibronectin type III
920at7147	Complete	3L	16799792	16788412	-	3487.4	1759	https://v10-1.orthodb.org/?query=920at7147	Glutamate synthase, alpha subunit, C-terminal
967at7147	Complete	3R	8026841	8016682	-	3380.3	1770	https://v10-1.orthodb.org/?query=967at7147	Armadillo-type fold
969at7147	Complete	X	1322573	1329272	+	2005.1	1860	https://v10-1.orthodb.org/?query=969at7147	uncharacterized protein LOC108097278
976at7147	Complete	3R	22741030	22734111	-	2729.8	1537	https://v10-1.orthodb.org/?query=976at7147	Ribonuclease III domain
977at7147	Complete	2L	7814947	7820387	+	2411.3	1465	https://v10-1.orthodb.org/?query=977at7147	Laminin, N-terminal
981at7147	Complete	3R	8881340	8828097	-	2136.7	1223	https://v10-1.orthodb.org/?query=981at7147	PDZ domain
1009at7147	Complete	4	1065107	1076111	+	2820.1	2559	https://v10-1.orthodb.org/?query=1009at7147	Vitellinogen, beta-sheet N-terminal
1015at7147	Complete	3R	25249630	25258556	+	1493.4	1193	https://v10-1.orthodb.org/?query=1015at7147	Zinc finger, RanBP2-type
1017at7147	Complete	2L	183746	201411	+	1664.8	1886	https://v10-1.orthodb.org/?query=1017at7147	SHARP, RNA recognition motif 2
1064at7147	Complete	2R	18476678	18459855	-	2425.0	1317	https://v10-1.orthodb.org/?query=1064at7147	WD40 repeat
1082at7147	Complete	2L	19782792	19776944	-	1534.7	989	https://v10-1.orthodb.org/?query=1082at7147	SH3 domain
1099at7147	Complete	2R	12198830	12192575	-	2352.5	1492	https://v10-1.orthodb.org/?query=1099at7147	Proteasome component Ecm29
1122at7147	Complete	2R	21311905	21341052	+	2172.5	1188	https://v10-1.orthodb.org/?query=1122at7147	SNF2-related, N-terminal domain
1142at7147	Complete	X	19852347	19859313	+	1936.9	1455	https://v10-1.orthodb.org/?query=1142at7147	Nucleoporin Nup186/Nup192/Nup205
1152at7147	Complete	3L	1593669	1599858	+	1052.7	803	https://v10-1.orthodb.org/?query=1152at7147	BTB/POZ domain
1190at7147	Complete	3R	15486142	15492982	+	3243.3	1721	https://v10-1.orthodb.org/?query=1190at7147	DEAD/DEAH box helicase domain
1204at7147	Complete	3R	15977297	15983322	+	2506.0	1469	https://v10-1.orthodb.org/?query=1204at7147	SNF2-related, N-terminal domain
1216at7147	Complete	3R	16067512	16060689	-	2795.7	1366	https://v10-1.orthodb.org/?query=1216at7147	WD40-repeat-containing domain
1224at7147	Complete	3R	23348190	23355085	+	3450.9	1786	https://v10-1.orthodb.org/?query=1224at7147	DNA polymerase epsilon catalytic subunit
1246at7147	Complete	2L	13793847	13799142	+	2908.0	1414	https://v10-1.orthodb.org/?query=1246at7147	Sec7, C-terminal
1270at7147	Complete	3R	22470484	22483853	+	2845.0	1349	https://v10-1.orthodb.org/?query=1270at7147	EGF-like domain
1273at7147	Complete	3R	26967443	26976542	+	2438.9	1354	https://v10-1.orthodb.org/?query=1273at7147	Rap/Ran-GAP superfamily
1288at7147	Complete	2R	6740252	6721593	-	2922.6	1504	https://v10-1.orthodb.org/?query=1288at7147	Thioredoxin domain
1297at7147	Complete	2R	11852755	11860599	+	1547.1	1453	https://v10-1.orthodb.org/?query=1297at7147	Nucleoprotein TPR/MLP1
1314at7147	Complete	3R	29807334	29814428	+	1726.4	1223	https://v10-1.orthodb.org/?query=1314at7147	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
1378at7147	Complete	X	15834164	15828277	-	2909.0	1421	https://v10-1.orthodb.org/?query=1378at7147	Clathrin heavy chain
1388at7147	Complete	2R	4728499	4691860	-	2103.4	1252	https://v10-1.orthodb.org/?query=1388at7147	Nipped-B protein
1424at7147	Complete	3R	11422394	11429536	+	1573.0	1338	https://v10-1.orthodb.org/?query=1424at7147	FYVE zinc finger
1448at7147	Complete	2L	19515998	19510966	-	1574.2	867	https://v10-1.orthodb.org/?query=1448at7147	Sushi/SCR/CCP domain
1460at7147	Complete	3L	14049669	14043852	-	2090.8	1178	https://v10-1.orthodb.org/?query=1460at7147	Neuralized homology repeat (NHR) domain
1492at7147	Complete	2L	153106	144376	-	760.2	558	https://v10-1.orthodb.org/?query=1492at7147	CLASP N-terminal domain
1519at7147	Complete	3R	18758770	18750583	-	1321.3	1356	https://v10-1.orthodb.org/?query=1519at7147	Ectopic P granules protein 5
1524at7147	Complete	3R	24305193	24313876	+	2631.9	1622	https://v10-1.orthodb.org/?query=1524at7147	EGF-like, conserved site
1539at7147	Complete	X	1910756	1915331	+	2503.1	1234	https://v10-1.orthodb.org/?query=1539at7147	WD40 repeat
1545at7147	Complete	3L	3218804	3211363	-	3315.1	1807	https://v10-1.orthodb.org/?query=1545at7147	FMP27, GFWDK domain
1553at7147	Complete	3L	2774692	2780410	+	1708.2	1261	https://v10-1.orthodb.org/?query=1553at7147	Autophagy-related, C-terminal
1616at7147	Complete	2R	18845863	18837349	-	2838.0	1766	https://v10-1.orthodb.org/?query=1616at7147	Dopey, N-terminal
1629at7147	Complete	2L	1928509	1942959	+	2297.5	1447	https://v10-1.orthodb.org/?query=1629at7147	WD40-repeat-containing domain
1636at7147	Complete	2L	94851	101296	+	2741.4	1507	https://v10-1.orthodb.org/?query=1636at7147	Dedicator of cytokinesis
1674at7147	Complete	3L	246216	234301	-	2652.6	1791	https://v10-1.orthodb.org/?query=1674at7147	Zinc finger, PHD-type
1712at7147	Complete	X	728564	747628	+	3027.8	1546	https://v10-1.orthodb.org/?query=1712at7147	Immunoglobulin-like domain
1727at7147	Complete	2L	8080550	8074958	-	2809.3	1413	https://v10-1.orthodb.org/?query=1727at7147	Alpha-macroglobulin, receptor-binding
1738at7147	Complete	3R	27593538	27586688	-	1905.0	1148	https://v10-1.orthodb.org/?query=1738at7147	Thyroglobulin type-1
1739at7147	Complete	2L	8123233	8117522	-	2325.0	1239	https://v10-1.orthodb.org/?query=1739at7147	Mon2, C-terminal
1759at7147	Complete	3L	1533908	1523516	-	1846.7	1046	https://v10-1.orthodb.org/?query=1759at7147	Vacuolar membrane-associated protein Iml1
1786at7147	Complete	X	21132450	21140124	+	2201.1	1456	https://v10-1.orthodb.org/?query=1786at7147	ABC transporter A
1789at7147	Complete	3R	5187652	5173805	-	812.0	431	https://v10-1.orthodb.org/?query=1789at7147	PDZ domain
1846at7147	Complete	3L	1033828	998087	-	2356.3	1172	https://v10-1.orthodb.org/?query=1846at7147	Dbl homology (DH) domain
1858at7147	Complete	2L	11515780	11509302	-	1922.4	1325	https://v10-1.orthodb.org/?query=1858at7147	PDZ domain
1898at7147	Complete	X	16967672	16957496	-	2025.4	1275	https://v10-1.orthodb.org/?query=1898at7147	Zinc finger, UBR-type
1926at7147	Complete	2R	14601118	14595664	-	2070.6	1244	https://v10-1.orthodb.org/?query=1926at7147	RNA polymerase Rpb1, domain 4
1957at7147	Complete	X	17650228	17641620	-	2035.7	1168	https://v10-1.orthodb.org/?query=1957at7147	Rho GTPase-activating protein domain
1962at7147	Complete	2L	13784169	13790298	+	1287.6	1041	https://v10-1.orthodb.org/?query=1962at7147	ABC transporter A
1967at7147	Complete	X	15462335	15455828	-	1814.7	1247	https://v10-1.orthodb.org/?query=1967at7147	Anaphase-promoting complex subunit 1
1975at7147	Complete	X	14267652	14276628	+	3105.5	1454	https://v10-1.orthodb.org/?query=1975at7147	Ion transport domain
2004at7147	Complete	2L	3766563	3768188	+	436.1	252	https://v10-1.orthodb.org/?query=2004at7147	PDZ domain
2027at7147	Complete	3L	2536211	2508309	-	1225.5	728	https://v10-1.orthodb.org/?query=2027at7147	PDZ domain
2048at7147	Complete	2L	23016070	22999675	-	2992.7	1674	https://v10-1.orthodb.org/?query=2048at7147	Chitin binding domain
2092at7147	Complete	X	18865439	18878118	+	2129.3	1067	https://v10-1.orthodb.org/?query=2092at7147	Zinc finger, SWIM-type
2104at7147	Complete	2L	19691016	19730159	+	2472.2	1153	https://v10-1.orthodb.org/?query=2104at7147	Fibronectin type III
2109at7147	Complete	2L	558553	553939	-	1866.3	1114	https://v10-1.orthodb.org/?query=2109at7147	WD40/YVTN repeat-like-containing domain superfamily
2118at7147	Complete	3R	29845603	29854305	+	1863.6	1156	https://v10-1.orthodb.org/?query=2118at7147	Cadherin-like
2164at7147	Complete	X	15520202	15512742	-	1373.3	785	https://v10-1.orthodb.org/?query=2164at7147	Adenylyl cyclase class-3/4/guanylyl cyclase
2199at7147	Complete	3R	11796435	11789931	-	2495.7	1442	https://v10-1.orthodb.org/?query=2199at7147	uDENN domain
2200at7147	Complete	X	15763081	15769363	+	2346.6	1173	https://v10-1.orthodb.org/?query=2200at7147	RNA polymerase Rpb1, domain 4
2213at7147	Complete	3R	31395999	31401374	+	1836.4	1168	https://v10-1.orthodb.org/?query=2213at7147	Protein kinase domain
2232at7147	Complete	X	496939	507874	+	1689.2	1069	https://v10-1.orthodb.org/?query=2232at7147	Peptidase M14, carboxypeptidase A
2233at7147	Complete	2L	2821056	2816344	-	2672.8	1274	https://v10-1.orthodb.org/?query=2233at7147	Ferric reductase, NAD binding domain
2249at7147	Complete	2R	12686072	12680047	-	1998.6	1446	https://v10-1.orthodb.org/?query=2249at7147	Nucleoporin Nup188
2257at7147	Complete	X	10618865	10604163	-	745.5	632	https://v10-1.orthodb.org/?query=2257at7147	Zinc finger C2H2 superfamily
2273at7147	Complete	2L	5346857	5365027	+	2180.5	1097	https://v10-1.orthodb.org/?query=2273at7147	Ankyrin repeat-containing domain
2274at7147	Complete	3L	14864854	14881731	+	1959.1	1107	https://v10-1.orthodb.org/?query=2274at7147	Immunoglobulin-like domain
2293at7147	Complete	2R	15527685	15518754	-	2749.9	1347	https://v10-1.orthodb.org/?query=2293at7147	Kinesin-like
2302at7147	Complete	2R	21056395	21050808	-	1979.7	1210	https://v10-1.orthodb.org/?query=2302at7147	Cadherin-like
2306at7147	Complete	3L	20459398	20447319	-	1474.7	934	https://v10-1.orthodb.org/?query=2306at7147	Leucine-rich repeat
2315at7147	Complete	3L	5756244	5761381	+	938.9	673	https://v10-1.orthodb.org/?query=2315at7147	Ubiquitin specific protease, conserved site
2334at7147	Complete	2R	16634653	16629075	-	2211.6	1184	https://v10-1.orthodb.org/?query=2334at7147	Protein kinase domain
2361at7147	Complete	3R	21671575	21666619	-	1721.8	1081	https://v10-1.orthodb.org/?query=2361at7147	DNA polymerase
2377at7147	Complete	2L	11123878	11128923	+	1488.8	1142	https://v10-1.orthodb.org/?query=2377at7147	Nucleoporin Nup120/160
2383at7147	Complete	3L	21658374	21666017	+	1651.1	897	https://v10-1.orthodb.org/?query=2383at7147	Ankyrin repeat-containing domain
2390at7147	Complete	2R	15890603	15871422	-	2288.6	1159	https://v10-1.orthodb.org/?query=2390at7147	Leucine-rich repeat
2407at7147	Complete	3L	22262678	22258141	-	1583.1	970	https://v10-1.orthodb.org/?query=2407at7147	WD40/YVTN repeat-like-containing domain superfamily
2421at7147	Complete	3R	31191835	31179973	-	2127.9	1041	https://v10-1.orthodb.org/?query=2421at7147	Sushi/SCR/CCP domain
2437at7147	Complete	2L	4299051	4314635	+	1229.2	607	https://v10-1.orthodb.org/?query=2437at7147	Immunoglobulin-like domain
2459at7147	Complete	2R	15286470	15263725	-	2135.2	1110	https://v10-1.orthodb.org/?query=2459at7147	TRPM, tetramerisation domain
2483at7147	Complete	2L	19520584	19525238	+	1542.9	1011	https://v10-1.orthodb.org/?query=2483at7147	WD40 repeat
2497at7147	Complete	2R	24038061	24044335	+	2114.6	1357	https://v10-1.orthodb.org/?query=2497at7147	Integrator complex subunit 1
2501at7147	Complete	2L	12020741	12014695	-	2184.8	1393	https://v10-1.orthodb.org/?query=2501at7147	WD40-repeat-containing domain
2540at7147	Complete	2R	16313025	16316217	+	1170.1	583	https://v10-1.orthodb.org/?query=2540at7147	Ferric reductase, NAD binding domain
2590at7147	Complete	3R	23694448	23689531	-	998.8	672	https://v10-1.orthodb.org/?query=2590at7147	Ubiquitin-conjugating enzyme E2
2598at7147	Complete	3R	24161030	24156018	-	1479.2	857	https://v10-1.orthodb.org/?query=2598at7147	Myosin head, motor domain
2625at7147	Complete	3R	15196026	15191308	-	1809.0	1074	https://v10-1.orthodb.org/?query=2625at7147	SPRY domain
2656at7147	Complete	X	13722359	13726628	+	1051.0	835	https://v10-1.orthodb.org/?query=2656at7147	BRCT domain
2661at7147	Complete	2L	15171540	15163602	-	1476.6	938	https://v10-1.orthodb.org/?query=2661at7147	Leucine-rich repeat
2687at7147	Complete	X	15093249	15103150	+	2309.6	1242	https://v10-1.orthodb.org/?query=2687at7147	uDENN domain
2714at7147	Complete	3R	15333385	15337718	+	2373.8	1117	https://v10-1.orthodb.org/?query=2714at7147	Cytoplasmic FMR1-interacting protein
2750at7147	Complete	3L	832940	827880	-	2235.1	1078	https://v10-1.orthodb.org/?query=2750at7147	WD40/YVTN repeat-like-containing domain superfamily
2752at7147	Complete	X	9103071	9094245	-	2134.4	1016	https://v10-1.orthodb.org/?query=2752at7147	Phosphorylase b kinase regulatory subunit
2768at7147	Complete	3L	9617246	9623387	+	2294.1	1298	https://v10-1.orthodb.org/?query=2768at7147	Laminin, N-terminal
2780at7147	Complete	3L	19618445	19613740	-	1704.2	1043	https://v10-1.orthodb.org/?query=2780at7147	TRAPP III complex, Trs85
2789at7147	Complete	3R	24333221	24328694	-	1105.8	965	https://v10-1.orthodb.org/?query=2789at7147	S1 domain
2817at7147	Complete	3L	1962913	1950581	-	2594.6	2154	https://v10-1.orthodb.org/?query=2817at7147	WD40-repeat-containing domain
2831at7147	Complete	3R	16052144	16059816	+	3736.0	2070	https://v10-1.orthodb.org/?query=2831at7147	CLASP N-terminal domain
2841at7147	Complete	2L	13189573	13185437	-	1052.9	644	https://v10-1.orthodb.org/?query=2841at7147	Leucine-rich repeat
2843at7147	Complete	3L	3199433	3210984	+	1551.8	983	https://v10-1.orthodb.org/?query=2843at7147	Trafficking protein particle complex subunit 11
2889at7147	Complete	2L	20655784	20651292	-	1646.1	961	https://v10-1.orthodb.org/?query=2889at7147	TRAPP II complex, Trs120
2891at7147	Complete	3R	24259235	24253353	-	2061.5	1065	https://v10-1.orthodb.org/?query=2891at7147	Myosin head, motor domain
2918at7147	Complete	2R	12326673	12332088	+	2218.1	1218	https://v10-1.orthodb.org/?query=2918at7147	Sec7 domain
2948at7147	Complete	X	4619993	4625966	+	953.8	579	https://v10-1.orthodb.org/?query=2948at7147	Zinc finger C2H2 superfamily
2953at7147	Complete	3R	28616026	28609397	-	2530.7	1326	https://v10-1.orthodb.org/?query=2953at7147	Ankyrin repeat-containing domain
2987at7147	Complete	3R	24805172	24800036	-	2105.9	1252	https://v10-1.orthodb.org/?query=2987at7147	High mobility group box domain
3013at7147	Complete	2L	8252775	8245741	-	536.5	151	https://v10-1.orthodb.org/?query=3013at7147	Sperm-tail PG-rich repeat
3067at7147	Complete	2L	16235611	16239902	+	1619.1	929	https://v10-1.orthodb.org/?query=3067at7147	Voltage-dependent calcium channel, alpha-2/delta subunit, conserved region
3077at7147	Complete	2L	6940918	6932687	-	1413.6	1094	https://v10-1.orthodb.org/?query=3077at7147	Protein SOGA
3078at7147	Complete	2R	21314444	21319396	+	2298.9	1281	https://v10-1.orthodb.org/?query=3078at7147	Glycogen debranching enzyme
3095at7147	Complete	3R	7843785	7853243	+	2318.5	1251	https://v10-1.orthodb.org/?query=3095at7147	Diacylglycerol kinase
3096at7147	Complete	3R	14634752	14641609	+	2552.3	1541	https://v10-1.orthodb.org/?query=3096at7147	Cadherin-like
3107at7147	Complete	2R	22889007	22894146	+	1948.2	1108	https://v10-1.orthodb.org/?query=3107at7147	Mediator complex, subunit Med23
3153at7147	Complete	3R	19879923	19887538	+	1758.5	972	https://v10-1.orthodb.org/?query=3153at7147	Protein kinase domain
3183at7147	Complete	X	14233541	14228309	-	1560.0	903	https://v10-1.orthodb.org/?query=3183at7147	Pleckstrin homology domain
3196at7147	Complete	3R	23966590	23981902	+	1334.2	721	https://v10-1.orthodb.org/?query=3196at7147	Diacylglycerol kinase
3208at7147	Complete	2R	6035506	6026672	-	1516.3	880	https://v10-1.orthodb.org/?query=3208at7147	WD40-repeat-containing domain
3236at7147	Complete	2R	12585711	12579113	-	1462.5	779	https://v10-1.orthodb.org/?query=3236at7147	Paired amphipathic helix
3250at7147	Complete	2L	18518180	18531656	+	2179.2	1135	https://v10-1.orthodb.org/?query=3250at7147	Haem peroxidase domain superfamily, animal type
3264at7147	Complete	3R	29981301	29990535	+	1630.5	1051	https://v10-1.orthodb.org/?query=3264at7147	Leucine-rich repeat
3275at7147	Complete	2R	9508117	9537171	+	1898.5	1177	https://v10-1.orthodb.org/?query=3275at7147	Active zone protein ELKS
3283at7147	Complete	3L	20129308	20138884	+	1925.8	1270	https://v10-1.orthodb.org/?query=3283at7147	Tuberin
3371at7147	Complete	X	6040701	6048507	+	2661.7	1496	https://v10-1.orthodb.org/?query=3371at7147	Sec7, C-terminal
3394at7147	Complete	3R	22674168	22681576	+	1570.6	877	https://v10-1.orthodb.org/?query=3394at7147	Ankyrin repeat-containing domain
3420at7147	Complete	2R	13459529	13454438	-	2550.6	1377	https://v10-1.orthodb.org/?query=3420at7147	Low-density lipoprotein (LDL) receptor class A, conserved site
3422at7147	Complete	X	13768079	13773976	+	1774.2	925	https://v10-1.orthodb.org/?query=3422at7147	Phosphatidylinositol transfer protein
3429at7147	Complete	2L	6325267	6329696	+	1560.1	831	https://v10-1.orthodb.org/?query=3429at7147	Ras guanine-nucleotide exchange factor catalytic domain superfamily
3440at7147	Complete	3R	24120302	24127700	+	2587.0	1631	https://v10-1.orthodb.org/?query=3440at7147	rootletin
3442at7147	Complete	2L	3514377	3510591	-	1899.6	996	https://v10-1.orthodb.org/?query=3442at7147	Aminoacyl-tRNA synthetase, class Ia
3445at7147	Complete	3L	18872949	18877776	+	2169.0	1231	https://v10-1.orthodb.org/?query=3445at7147	UDP-glucose:Glycoprotein Glucosyltransferase
3469at7147	Complete	2R	18415249	18419422	+	1745.2	1031	https://v10-1.orthodb.org/?query=3469at7147	K Homology domain, type 1
3500at7147	Complete	X	3964754	3955877	-	555.2	943	https://v10-1.orthodb.org/?query=3500at7147	protein lava lamp
3505at7147	Complete	3L	12146854	12156238	+	2073.4	1041	https://v10-1.orthodb.org/?query=3505at7147	EGF-like domain
3510at7147	Complete	3R	14672518	14665839	-	1177.0	787	https://v10-1.orthodb.org/?query=3510at7147	Peptidase M12B, ADAM/reprolysin
3521at7147	Complete	3L	8411493	8407373	-	2036.5	1043	https://v10-1.orthodb.org/?query=3521at7147	WD40-repeat-containing domain
3551at7147	Complete	3R	4538429	4493406	-	1072.9	557	https://v10-1.orthodb.org/?query=3551at7147	Guanylate cyclase
3553at7147	Complete	3R	6646989	6655792	+	2331.5	1269	https://v10-1.orthodb.org/?query=3553at7147	TAFII-230 TBP-binding
3556at7147	Complete	2R	7277882	7273274	-	1451.9	831	https://v10-1.orthodb.org/?query=3556at7147	Zinc finger, PHD-type
3560at7147	Complete	2R	15322020	15318582	-	1000.8	594	https://v10-1.orthodb.org/?query=3560at7147	Rab-GTPase-TBC domain
3562at7147	Complete	3L	3178279	3173265	-	1013.4	653	https://v10-1.orthodb.org/?query=3562at7147	Immunoglobulin-like domain
3585at7147	Complete	3R	29675729	29680175	+	1527.6	996	https://v10-1.orthodb.org/?query=3585at7147	Condensin complex subunit 1
3601at7147	Complete	3R	9245753	9240853	-	1835.0	998	https://v10-1.orthodb.org/?query=3601at7147	WD40-repeat-containing domain
3605at7147	Complete	X	15420115	15389623	-	1293.6	647	https://v10-1.orthodb.org/?query=3605at7147	Cyclic nucleotide-binding, conserved site
3644at7147	Complete	2R	14503364	14498815	-	2158.1	1210	https://v10-1.orthodb.org/?query=3644at7147	WD40/YVTN repeat-like-containing domain superfamily
3647at7147	Complete	2L	404404	407891	+	1647.6	934	https://v10-1.orthodb.org/?query=3647at7147	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
3679at7147	Complete	2L	11120138	11116138	-	1775.2	969	https://v10-1.orthodb.org/?query=3679at7147	P-type ATPase
3700at7147	Complete	2L	5525948	5535754	+	1003.4	882	https://v10-1.orthodb.org/?query=3700at7147	tRNA (guanine-N(7)-)-methyltransferase
3707at7147	Complete	X	19261050	19252724	-	1540.6	955	https://v10-1.orthodb.org/?query=3707at7147	Rapamycin-insensitive companion of mTOR, domain 4
3716at7147	Complete	X	6267906	6274421	+	2834.4	1548	https://v10-1.orthodb.org/?query=3716at7147	Transcription elongation factor spt6
