# BUSCO version is: 6.0.0 
# The lineage dataset is: diptera_odb10 (Creation date: 2024-01-08, number of genomes: 56, number of BUSCOs: 3285)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1492at7147	Complete	ptg000003l	253791	245061	-	760.2	558	https://v10-1.orthodb.org/?query=1492at7147	CLASP N-terminal domain
1519at7147	Complete	ptg000009l	13357163	13365350	+	1321.3	1356	https://v10-1.orthodb.org/?query=1519at7147	Ectopic P granules protein 5
1524at7147	Complete	ptg000009l	7792424	7783741	-	2631.9	1622	https://v10-1.orthodb.org/?query=1524at7147	EGF-like, conserved site
1539at7147	Complete	ptg000014l	5932552	5927977	-	2503.1	1234	https://v10-1.orthodb.org/?query=1539at7147	WD40 repeat
1545at7147	Complete	ptg000001l	3224223	3216782	-	3315.1	1807	https://v10-1.orthodb.org/?query=1545at7147	FMP27, GFWDK domain
1553at7147	Complete	ptg000001l	2780103	2785821	+	1708.2	1261	https://v10-1.orthodb.org/?query=1553at7147	Autophagy-related, C-terminal
1616at7147	Complete	ptg000002l	6502951	6511465	+	2838.0	1766	https://v10-1.orthodb.org/?query=1616at7147	Dopey, N-terminal
1629at7147	Complete	ptg000003l	2035838	2050288	+	2297.5	1447	https://v10-1.orthodb.org/?query=1629at7147	WD40-repeat-containing domain
1636at7147	Complete	ptg000003l	195536	201981	+	2741.4	1507	https://v10-1.orthodb.org/?query=1636at7147	Dedicator of cytokinesis
1674at7147	Complete	ptg000001l	242017	230102	-	2652.6	1791	https://v10-1.orthodb.org/?query=1674at7147	Zinc finger, PHD-type
1712at7147	Complete	ptg000014l	7099931	7080867	-	3027.8	1546	https://v10-1.orthodb.org/?query=1712at7147	Immunoglobulin-like domain
1727at7147	Complete	ptg000003l	8186306	8180714	-	2809.3	1413	https://v10-1.orthodb.org/?query=1727at7147	Alpha-macroglobulin, receptor-binding
1738at7147	Complete	ptg000009l	4504045	4510895	+	1905.0	1148	https://v10-1.orthodb.org/?query=1738at7147	Thyroglobulin type-1
1739at7147	Complete	ptg000003l	8259717	8254006	-	2325.0	1239	https://v10-1.orthodb.org/?query=1739at7147	Mon2, C-terminal
1759at7147	Complete	ptg000001l	1529729	1519337	-	1846.7	1046	https://v10-1.orthodb.org/?query=1759at7147	Vacuolar membrane-associated protein Iml1
1786at7147	Complete	ptg000010l	13343741	13351415	+	2201.1	1456	https://v10-1.orthodb.org/?query=1786at7147	ABC transporter A
1789at7147	Complete	ptg000006l	1018237	1004390	-	812.0	431	https://v10-1.orthodb.org/?query=1789at7147	PDZ domain
1846at7147	Complete	ptg000001l	1029640	993898	-	2356.3	1172	https://v10-1.orthodb.org/?query=1846at7147	Dbl homology (DH) domain
1858at7147	Complete	ptg000003l	11668270	11661792	-	1922.4	1325	https://v10-1.orthodb.org/?query=1858at7147	PDZ domain
1898at7147	Complete	ptg000010l	9170312	9160136	-	2025.4	1275	https://v10-1.orthodb.org/?query=1898at7147	Zinc finger, UBR-type
1926at7147	Complete	ptg000002l	10748769	10754223	+	2070.6	1244	https://v10-1.orthodb.org/?query=1926at7147	RNA polymerase Rpb1, domain 4
1957at7147	Complete	ptg000010l	9857058	9848448	-	2035.7	1168	https://v10-1.orthodb.org/?query=1957at7147	Rho GTPase-activating protein domain
1962at7147	Complete	ptg000003l	13938088	13944217	+	1287.6	1041	https://v10-1.orthodb.org/?query=1962at7147	ABC transporter A
1967at7147	Complete	ptg000010l	7662625	7656118	-	1814.7	1247	https://v10-1.orthodb.org/?query=1967at7147	Anaphase-promoting complex subunit 1
1975at7147	Complete	ptg000010l	6459766	6468742	+	3105.5	1454	https://v10-1.orthodb.org/?query=1975at7147	Ion transport domain
2004at7147	Complete	ptg000003l	3864827	3866452	+	436.1	252	https://v10-1.orthodb.org/?query=2004at7147	PDZ domain
2027at7147	Complete	ptg000001l	2541626	2513724	-	1225.5	728	https://v10-1.orthodb.org/?query=2027at7147	PDZ domain
2048at7147	Complete	ptg000041l	747780	731385	-	2992.7	1674	https://v10-1.orthodb.org/?query=2048at7147	Chitin binding domain
2092at7147	Complete	ptg000010l	11073756	11086435	+	2129.3	1067	https://v10-1.orthodb.org/?query=2092at7147	Zinc finger, SWIM-type
2104at7147	Complete	ptg000003l	19878784	19917929	+	2472.2	1153	https://v10-1.orthodb.org/?query=2104at7147	Fibronectin type III
2109at7147	Complete	ptg000003l	660648	656034	-	1866.3	1114	https://v10-1.orthodb.org/?query=2109at7147	WD40/YVTN repeat-like-containing domain superfamily
2118at7147	Complete	ptg000009l	2250535	2241833	-	1863.6	1156	https://v10-1.orthodb.org/?query=2118at7147	Cadherin-like
2164at7147	Complete	ptg000010l	7720497	7713037	-	1373.3	785	https://v10-1.orthodb.org/?query=2164at7147	Adenylyl cyclase class-3/4/guanylyl cyclase
2199at7147	Complete	ptg000009l	20338535	20345039	+	2495.7	1442	https://v10-1.orthodb.org/?query=2199at7147	uDENN domain
2200at7147	Complete	ptg000010l	7963384	7969666	+	2346.6	1173	https://v10-1.orthodb.org/?query=2200at7147	RNA polymerase Rpb1, domain 4
2213at7147	Complete	ptg000009l	697992	692617	-	1836.4	1168	https://v10-1.orthodb.org/?query=2213at7147	Protein kinase domain
2232at7147	Complete	ptg000014l	7335660	7324725	-	1689.2	1069	https://v10-1.orthodb.org/?query=2232at7147	Peptidase M14, carboxypeptidase A
2233at7147	Complete	ptg000003l	2919302	2914590	-	2672.8	1274	https://v10-1.orthodb.org/?query=2233at7147	Ferric reductase, NAD binding domain
2249at7147	Complete	ptg000002l	12678429	12684454	+	1998.6	1446	https://v10-1.orthodb.org/?query=2249at7147	Nucleoporin Nup188
2257at7147	Complete	ptg000010l	2791573	2776871	-	745.5	632	https://v10-1.orthodb.org/?query=2257at7147	Zinc finger C2H2 superfamily
2273at7147	Complete	ptg000003l	5447523	5465693	+	2180.5	1097	https://v10-1.orthodb.org/?query=2273at7147	Ankyrin repeat-containing domain
2274at7147	Complete	ptg000001l	14900411	14917288	+	1959.1	1107	https://v10-1.orthodb.org/?query=2274at7147	Immunoglobulin-like domain
2293at7147	Complete	ptg000002l	9822175	9831106	+	2749.9	1347	https://v10-1.orthodb.org/?query=2293at7147	Kinesin-like
2302at7147	Complete	ptg000002l	4266789	4272376	+	1979.7	1210	https://v10-1.orthodb.org/?query=2302at7147	Cadherin-like
2306at7147	Complete	ptg000001l	20476603	20464524	-	1474.7	934	https://v10-1.orthodb.org/?query=2306at7147	Leucine-rich repeat
2315at7147	Complete	ptg000001l	5764249	5769386	+	938.9	673	https://v10-1.orthodb.org/?query=2315at7147	Ubiquitin specific protease, conserved site
2334at7147	Complete	ptg000002l	8713771	8719349	+	2211.6	1184	https://v10-1.orthodb.org/?query=2334at7147	Protein kinase domain
2361at7147	Complete	ptg000009l	10434432	10439388	+	1721.8	1081	https://v10-1.orthodb.org/?query=2361at7147	DNA polymerase
2377at7147	Complete	ptg000003l	11276376	11281421	+	1488.8	1142	https://v10-1.orthodb.org/?query=2377at7147	Nucleoporin Nup120/160
2383at7147	Complete	ptg000001l	21667565	21675208	+	1651.1	897	https://v10-1.orthodb.org/?query=2383at7147	Ankyrin repeat-containing domain
2390at7147	Complete	ptg000002l	9459249	9478430	+	2288.6	1159	https://v10-1.orthodb.org/?query=2390at7147	Leucine-rich repeat
2407at7147	Complete	ptg000001l	22271875	22267338	-	1583.1	970	https://v10-1.orthodb.org/?query=2407at7147	WD40/YVTN repeat-like-containing domain superfamily
2421at7147	Complete	ptg000009l	902160	914022	+	2127.9	1041	https://v10-1.orthodb.org/?query=2421at7147	Sushi/SCR/CCP domain
2437at7147	Complete	ptg000003l	4398729	4414315	+	1229.2	607	https://v10-1.orthodb.org/?query=2437at7147	Immunoglobulin-like domain
2459at7147	Complete	ptg000002l	10063390	10086135	+	2135.2	1110	https://v10-1.orthodb.org/?query=2459at7147	TRPM, tetramerisation domain
2483at7147	Complete	ptg000003l	19706177	19710831	+	1542.9	1011	https://v10-1.orthodb.org/?query=2483at7147	WD40 repeat
2497at7147	Complete	ptg000002l	1279830	1273556	-	2114.6	1357	https://v10-1.orthodb.org/?query=2497at7147	Integrator complex subunit 1
2501at7147	Complete	ptg000003l	12173239	12167193	-	2184.8	1393	https://v10-1.orthodb.org/?query=2501at7147	WD40-repeat-containing domain
2540at7147	Complete	ptg000002l	9036818	9033626	-	1170.1	583	https://v10-1.orthodb.org/?query=2540at7147	Ferric reductase, NAD binding domain
2590at7147	Complete	ptg000009l	8410102	8415019	+	998.8	672	https://v10-1.orthodb.org/?query=2590at7147	Ubiquitin-conjugating enzyme E2
2598at7147	Complete	ptg000009l	7936588	7941600	+	1479.2	857	https://v10-1.orthodb.org/?query=2598at7147	Myosin head, motor domain
2625at7147	Complete	ptg000009l	16932468	16937186	+	1809.0	1074	https://v10-1.orthodb.org/?query=2625at7147	SPRY domain
2656at7147	Complete	ptg000010l	5907895	5912164	+	1051.0	835	https://v10-1.orthodb.org/?query=2656at7147	BRCT domain
2661at7147	Complete	ptg000003l	15327754	15319816	-	1476.6	938	https://v10-1.orthodb.org/?query=2661at7147	Leucine-rich repeat
2687at7147	Complete	ptg000010l	7292838	7302739	+	2309.6	1242	https://v10-1.orthodb.org/?query=2687at7147	uDENN domain
2714at7147	Complete	ptg000009l	16795106	16790773	-	2373.8	1117	https://v10-1.orthodb.org/?query=2714at7147	Cytoplasmic FMR1-interacting protein
2750at7147	Complete	ptg000001l	828744	823684	-	2235.1	1078	https://v10-1.orthodb.org/?query=2750at7147	WD40/YVTN repeat-like-containing domain superfamily
2752at7147	Complete	ptg000010l	1281232	1272405	-	2134.4	1016	https://v10-1.orthodb.org/?query=2752at7147	Phosphorylase b kinase regulatory subunit
2768at7147	Complete	ptg000001l	9642958	9649099	+	2294.1	1298	https://v10-1.orthodb.org/?query=2768at7147	Laminin, N-terminal
2780at7147	Complete	ptg000001l	19667041	19662336	-	1704.2	1043	https://v10-1.orthodb.org/?query=2780at7147	TRAPP III complex, Trs85
2789at7147	Complete	ptg000009l	7764396	7768923	+	1105.8	965	https://v10-1.orthodb.org/?query=2789at7147	S1 domain
2817at7147	Complete	ptg000001l	1958740	1946408	-	2594.6	2154	https://v10-1.orthodb.org/?query=2817at7147	WD40-repeat-containing domain
2831at7147	Complete	ptg000009l	16076337	16068665	-	3736.0	2070	https://v10-1.orthodb.org/?query=2831at7147	CLASP N-terminal domain
2841at7147	Complete	ptg000003l	13343516	13339380	-	1052.9	644	https://v10-1.orthodb.org/?query=2841at7147	Leucine-rich repeat
2843at7147	Complete	ptg000001l	3204852	3216403	+	1551.8	983	https://v10-1.orthodb.org/?query=2843at7147	Trafficking protein particle complex subunit 11
2889at7147	Complete	ptg000003l	20842171	20837679	-	1646.1	961	https://v10-1.orthodb.org/?query=2889at7147	TRAPP II complex, Trs120
2891at7147	Complete	ptg000009l	7838382	7844264	+	2061.5	1065	https://v10-1.orthodb.org/?query=2891at7147	Myosin head, motor domain
2918at7147	Complete	ptg000002l	13046143	13040728	-	2218.1	1218	https://v10-1.orthodb.org/?query=2918at7147	Sec7 domain
2948at7147	Complete	ptg000014l	3216935	3210965	-	953.7	579	https://v10-1.orthodb.org/?query=2948at7147	Zinc finger C2H2 superfamily
2953at7147	Complete	ptg000009l	3481555	3488184	+	2530.7	1326	https://v10-1.orthodb.org/?query=2953at7147	Ankyrin repeat-containing domain
2987at7147	Complete	ptg000009l	7292439	7297575	+	2105.9	1252	https://v10-1.orthodb.org/?query=2987at7147	High mobility group box domain
3013at7147	Complete	ptg000003l	8389260	8382226	-	536.5	151	https://v10-1.orthodb.org/?query=3013at7147	Sperm-tail PG-rich repeat
3067at7147	Complete	ptg000003l	16411029	16415320	+	1619.1	929	https://v10-1.orthodb.org/?query=3067at7147	Voltage-dependent calcium channel, alpha-2/delta subunit, conserved region
3077at7147	Complete	ptg000003l	7043698	7035467	-	1413.6	1094	https://v10-1.orthodb.org/?query=3077at7147	Protein SOGA
3078at7147	Complete	ptg000002l	4008739	4003787	-	2298.9	1281	https://v10-1.orthodb.org/?query=3078at7147	Glycogen debranching enzyme
3095at7147	Complete	ptg000009l	24291846	24282388	-	2318.5	1251	https://v10-1.orthodb.org/?query=3095at7147	Diacylglycerol kinase
3096at7147	Complete	ptg000009l	17494691	17487834	-	2552.3	1541	https://v10-1.orthodb.org/?query=3096at7147	Cadherin-like
3107at7147	Complete	ptg000002l	2428890	2423751	-	1948.2	1108	https://v10-1.orthodb.org/?query=3107at7147	Mediator complex, subunit Med23
3153at7147	Complete	ptg000009l	12227528	12219913	-	1758.5	972	https://v10-1.orthodb.org/?query=3153at7147	Protein kinase domain
3183at7147	Complete	ptg000010l	6425654	6420422	-	1560.0	903	https://v10-1.orthodb.org/?query=3183at7147	Pleckstrin homology domain
3196at7147	Complete	ptg000009l	8137949	8122637	-	1334.2	721	https://v10-1.orthodb.org/?query=3196at7147	Diacylglycerol kinase
3208at7147	Complete	ptg000002l	19361831	19370665	+	1516.3	880	https://v10-1.orthodb.org/?query=3208at7147	WD40-repeat-containing domain
3236at7147	Complete	ptg000002l	12787102	12793700	+	1462.5	779	https://v10-1.orthodb.org/?query=3236at7147	Paired amphipathic helix
3250at7147	Complete	ptg000003l	18702346	18715822	+	2179.2	1135	https://v10-1.orthodb.org/?query=3250at7147	Haem peroxidase domain superfamily, animal type
3264at7147	Complete	ptg000009l	2114835	2105601	-	1630.5	1051	https://v10-1.orthodb.org/?query=3264at7147	Leucine-rich repeat
3275at7147	Complete	ptg000002l	15874636	15845581	-	1898.5	1177	https://v10-1.orthodb.org/?query=3275at7147	Active zone protein ELKS
3283at7147	Complete	ptg000001l	20146506	20156082	+	1925.8	1270	https://v10-1.orthodb.org/?query=3283at7147	Tuberin
3371at7147	Complete	ptg000014l	1778350	1770544	-	2661.7	1496	https://v10-1.orthodb.org/?query=3371at7147	Sec7, C-terminal
3394at7147	Complete	ptg000009l	9430402	9422994	-	1570.6	877	https://v10-1.orthodb.org/?query=3394at7147	Ankyrin repeat-containing domain
3420at7147	Complete	ptg000002l	11890400	11895491	+	2550.6	1377	https://v10-1.orthodb.org/?query=3420at7147	Low-density lipoprotein (LDL) receptor class A, conserved site
3422at7147	Complete	ptg000010l	5953615	5959512	+	1774.2	925	https://v10-1.orthodb.org/?query=3422at7147	Phosphatidylinositol transfer protein
3429at7147	Complete	ptg000003l	6428036	6432465	+	1560.1	831	https://v10-1.orthodb.org/?query=3429at7147	Ras guanine-nucleotide exchange factor catalytic domain superfamily
3440at7147	Complete	ptg000009l	7977316	7969918	-	2587.0	1631	https://v10-1.orthodb.org/?query=3440at7147	rootletin
3442at7147	Complete	ptg000003l	3612638	3608852	-	1899.6	996	https://v10-1.orthodb.org/?query=3442at7147	Aminoacyl-tRNA synthetase, class Ia
3445at7147	Complete	ptg000001l	18911266	18916093	+	2169.0	1231	https://v10-1.orthodb.org/?query=3445at7147	UDP-glucose:Glycoprotein Glucosyltransferase
3469at7147	Complete	ptg000002l	6933568	6929395	-	1745.2	1031	https://v10-1.orthodb.org/?query=3469at7147	K Homology domain, type 1
3500at7147	Complete	ptg000014l	3872248	3881125	+	555.2	943	https://v10-1.orthodb.org/?query=3500at7147	protein lava lamp
3505at7147	Complete	ptg000001l	12182365	12191749	+	2073.4	1041	https://v10-1.orthodb.org/?query=3505at7147	EGF-like domain
3510at7147	Complete	ptg000009l	17456925	17463604	+	1177.0	787	https://v10-1.orthodb.org/?query=3510at7147	Peptidase M12B, ADAM/reprolysin
3521at7147	Complete	ptg000001l	8438593	8434473	-	2036.5	1043	https://v10-1.orthodb.org/?query=3521at7147	WD40-repeat-containing domain
3551at7147	Complete	ptg000006l	368838	323815	-	1072.9	557	https://v10-1.orthodb.org/?query=3551at7147	Guanylate cyclase
3553at7147	Complete	ptg000009l	25493819	25485016	-	2331.5	1269	https://v10-1.orthodb.org/?query=3553at7147	TAFII-230 TBP-binding
